Date,Share Code,High,Low,Previous,Open,Close,Total Shares Traded,Last
5/29/2018,CAL,1.97,1.08,1.54,1.54,1.53,109500,1.53
5/30/2018,CAL,1.97,1.08,1.53,1.53,1.53,800,1.53
5/31/2018,CAL,1.97,1.08,1.53,1.53,1.45,1600,1.45
6/1/2018,CAL,1.97,1.08,1.45,1.45,1.45,4364100,1.45
6/4/2018,CAL,1.97,1.4,1.45,1.45,1.4,13600,1.4
6/5/2018,CAL,1.97,1.4,1.4,1.4,1.45,11200,1.45
6/6/2018,CAL,1.97,1.4,1.45,1.45,1.45,800,1.45
6/7/2018,CAL,1.97,1.4,1.45,1.45,1.44,111500,1.44
6/8/2018,CAL,1.72,1.22,1.26,1.26,1.26,130000,1.26
6/11/2018,CAL,1.72,1.22,1.26,1.26,1.26,187600,1.26
6/12/2018,CAL,1.72,1.22,1.26,1.26,1.26,112300,1.26
6/13/2018,CAL,1.72,1.22,1.26,1.26,1.26,71300,1.26
6/14/2018,CAL,1.72,1.22,1.26,1.26,1.25,5000,1.25
6/18/2018,CAL,1.72,1.22,1.25,1.25,1.26,3417900,1.26
6/19/2018,CAL,1.72,1.22,1.26,1.26,1.26,1300,1.26
6/20/2018,CAL,1.72,1.22,1.26,1.26,1.26,1300,1.26
6/21/2018,CAL,1.72,1.22,1.25,1.25,1.26,305300,1.06
6/22/2018,CAL,1.72,1.22,1.26,1.26,1.22,900,1.22
6/25/2018,CAL,1.72,1.2,1.22,1.22,1.2,1800,1.2
6/26/2018,CAL,1.72,1.2,1.2,1.2,1.16,6400,1.2
6/27/2018,CAL,1.72,1.2,1.16,1.16,1.25,686000,1.25
6/28/2018,CAL,1.72,1.2,1.25,1.25,1.28,4999500,1.28
